# Chunk-averaged data for fix ave_vx and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
1000 20 4000
  1 0.025 199.9 -0.336076
  2 0.075 197.9 -0.213115
  3 0.125 195.34 -0.216763
  4 0.175 197.2 -0.141597
  5 0.225 201.3 -0.0962176
  6 0.275 200.46 -0.0311953
  7 0.325 201.38 0.0605689
  8 0.375 200.56 0.0845134
  9 0.425 200.34 0.13936
  10 0.475 199.8 0.201814
  11 0.525 199.4 0.359061
  12 0.575 205.14 0.271907
  13 0.625 200.32 0.164329
  14 0.675 199.7 0.0980866
  15 0.725 199.52 0.0682842
  16 0.775 200.14 0.00444517
  17 0.825 197.78 -0.0164851
  18 0.875 200.08 -0.0556835
  19 0.925 200.82 -0.169076
  20 0.975 202.92 -0.188179
2000 20 4000
  1 0.025 201.32 -0.426816
  2 0.075 208.66 -0.285648
  3 0.125 203.34 -0.211273
  4 0.175 199.88 -0.0855956
  5 0.225 196.6 -0.0050449
  6 0.275 198 -0.0298647
  7 0.325 198.2 0.0474995
  8 0.375 198.12 0.118042
  9 0.425 199.24 0.206644
  10 0.475 202.2 0.298431
  11 0.525 198.72 0.410204
  12 0.575 202.34 0.295812
  13 0.625 196.74 0.205202
  14 0.675 199.08 0.0866931
  15 0.725 197.56 0.0406119
  16 0.775 200.74 -0.0059433
  17 0.825 201.58 0.00835506
  18 0.875 200.48 -0.130988
  19 0.925 197.66 -0.201442
  20 0.975 199.54 -0.316973
3000 20 4000
  1 0.025 202.82 -0.426544
  2 0.075 202.56 -0.313809
  3 0.125 204.46 -0.147095
  4 0.175 201.1 -0.121978
  5 0.225 196.66 -0.0727442
  6 0.275 193.4 -0.014761
  7 0.325 196.1 0.0902556
  8 0.375 197.46 0.144664
  9 0.425 203.12 0.205945
  10 0.475 203.36 0.341652
  11 0.525 199.14 0.443161
  12 0.575 196.28 0.348658
  13 0.625 199.92 0.186813
  14 0.675 200.38 0.131655
  15 0.725 198.42 0.0364248
  16 0.775 201.96 -0.037448
  17 0.825 204.52 -0.105629
  18 0.875 200.82 -0.164763
  19 0.925 197.74 -0.198295
  20 0.975 199.78 -0.309887
4000 20 4000
