# Chunk-averaged data for fix massdensity and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
0 100 186
  1 0.005 2 0.237812
  2 0.015 1 1.41693
  3 0.025 1 0.118906
  4 0.035 3 2.95277
  5 0.045 2 1.53584
  6 0.055 1 1.41693
  7 0.065 4 0.475624
  8 0.075 1 0.118906
  9 0.085 4 1.77365
  10 0.095 2 0.237812
  11 0.105 1 0.118906
  12 0.115 1 1.41693
  13 0.125 1 0.118906
  14 0.135 0 0
  15 0.145 0 0
  16 0.155 2 1.53584
  17 0.165 2 0.237812
  18 0.175 3 2.95277
  19 0.185 3 2.95277
  20 0.195 2 0.237812
  21 0.205 1 0.118906
  22 0.215 3 2.95277
  23 0.225 2 1.53584
  24 0.235 2 0.237812
  25 0.245 2 0.237812
  26 0.255 2 1.53584
  27 0.265 1 1.41693
  28 0.275 2 1.53584
  29 0.285 0 0
  30 0.295 1 0.118906
  31 0.305 4 0.475624
  32 0.315 2 1.53584
  33 0.325 3 0.356718
  34 0.335 1 1.41693
  35 0.345 1 0.118906
  36 0.355 3 1.65474
  37 0.365 0 0
  38 0.375 2 0.237812
  39 0.385 4 3.07167
  40 0.395 2 0.237812
  41 0.405 4 3.07167
  42 0.415 1 0.118906
  43 0.425 1 1.41693
  44 0.435 1 0.118906
  45 0.445 0 0
  46 0.455 4 1.77365
  47 0.465 3 1.65474
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 2 1.53584
  51 0.505 2 1.53584
  52 0.515 1 0.118906
  53 0.525 3 0.356718
  54 0.535 1 1.41693
  55 0.545 4 3.07167
  56 0.555 2 2.83386
  57 0.565 4 1.77365
  58 0.575 0 0
  59 0.585 4 1.77365
  60 0.595 2 0.237812
  61 0.605 2 0.237812
  62 0.615 1 0.118906
  63 0.625 1 1.41693
  64 0.635 2 1.53584
  65 0.645 3 1.65474
  66 0.655 1 0.118906
  67 0.665 1 1.41693
  68 0.675 1 0.118906
  69 0.685 1 0.118906
  70 0.695 1 1.41693
  71 0.705 1 0.118906
  72 0.715 3 0.356718
  73 0.725 2 2.83386
  74 0.735 4 1.77365
  75 0.745 3 0.356718
  76 0.755 3 2.95277
  77 0.765 1 1.41693
  78 0.775 1 0.118906
  79 0.785 1 0.118906
  80 0.795 2 0.237812
  81 0.805 2 0.237812
  82 0.815 1 1.41693
  83 0.825 4 1.77365
  84 0.835 1 1.41693
  85 0.845 2 0.237812
  86 0.855 3 0.356718
  87 0.865 0 0
  88 0.875 1 0.118906
  89 0.885 1 0.118906
  90 0.895 1 1.41693
  91 0.905 3 2.95277
  92 0.915 4 3.07167
  93 0.925 0 0
  94 0.935 4 1.77365
  95 0.945 0 0
  96 0.955 0 0
  97 0.965 3 1.65474
  98 0.975 2 1.53584
  99 0.985 2 1.53584
  100 0.995 4 0.475624
1000 100 186
  1 0.005 1 1.02463
  2 0.015 1 0.0859851
  3 0.025 1 0.0859851
  4 0.035 4 1.28259
  5 0.045 0 0
  6 0.055 1 0.0859851
  7 0.065 0 0
  8 0.075 3 1.1966
  9 0.085 1 0.0859851
  10 0.095 1 0.0859851
  11 0.105 4 1.28259
  12 0.115 0 0
  13 0.125 1 0.0859851
  14 0.135 1 1.02463
  15 0.145 0 0
  16 0.155 4 1.28259
  17 0.165 1 1.02463
  18 0.175 3 1.1966
  19 0.185 2 1.11062
  20 0.195 2 1.11062
  21 0.205 4 0.34394
  22 0.215 2 2.04926
  23 0.225 1 1.02463
  24 0.235 3 1.1966
  25 0.245 2 0.17197
  26 0.255 2 1.11062
  27 0.265 0 0
  28 0.275 0 0
  29 0.285 4 1.28259
  30 0.295 1 0.0859851
  31 0.305 4 1.28259
  32 0.315 3 0.257955
  33 0.325 3 3.07389
  34 0.335 1 0.0859851
  35 0.345 1 1.02463
  36 0.355 2 0.17197
  37 0.365 2 0.17197
  38 0.375 2 1.11062
  39 0.385 2 0.17197
  40 0.395 2 0.17197
  41 0.405 3 1.1966
  42 0.415 3 2.13525
  43 0.425 0 0
  44 0.435 1 0.0859851
  45 0.445 1 1.02463
  46 0.455 3 1.1966
  47 0.465 2 0.17197
  48 0.475 2 1.11062
  49 0.485 2 1.11062
  50 0.495 3 2.13525
  51 0.505 3 0.257955
  52 0.515 4 1.28259
  53 0.525 2 1.11062
  54 0.535 2 0.17197
  55 0.545 4 2.22123
  56 0.555 1 0.0859851
  57 0.565 2 1.11062
  58 0.575 2 1.11062
  59 0.585 2 0.17197
  60 0.595 3 2.13525
  61 0.605 1 0.0859851
  62 0.615 2 0.17197
  63 0.625 2 0.17197
  64 0.635 1 1.02463
  65 0.645 2 1.11062
  66 0.655 3 2.13525
  67 0.665 2 0.17197
  68 0.675 2 1.11062
  69 0.685 1 0.0859851
  70 0.695 1 0.0859851
  71 0.705 0 0
  72 0.715 1 0.0859851
  73 0.725 5 2.30722
  74 0.735 2 0.17197
  75 0.745 1 1.02463
  76 0.755 1 0.0859851
  77 0.765 3 0.257955
  78 0.775 2 0.17197
  79 0.785 0 0
  80 0.795 1 1.02463
  81 0.805 1 0.0859851
  82 0.815 2 2.04926
  83 0.825 1 0.0859851
  84 0.835 4 1.28259
  85 0.845 1 1.02463
  86 0.855 0 0
  87 0.865 3 0.257955
  88 0.875 2 0.17197
  89 0.885 2 1.11062
  90 0.895 1 1.02463
  91 0.905 2 1.11062
  92 0.915 2 1.11062
  93 0.925 0 0
  94 0.935 2 0.17197
  95 0.945 3 2.13525
  96 0.955 2 1.11062
  97 0.965 2 0.17197
  98 0.975 1 0.0859851
  99 0.985 1 1.02463
  100 0.995 4 0.34394
2000 100 186
  1 0.005 0 0
  2 0.015 1 0.0830387
  3 0.025 3 2.06208
  4 0.035 0 0
  5 0.045 0 0
  6 0.055 3 1.1556
  7 0.065 1 0.0830387
  8 0.075 4 1.23864
  9 0.085 1 0.0830387
  10 0.095 2 0.166077
  11 0.105 2 1.07256
  12 0.115 1 0.0830387
  13 0.125 0 0
  14 0.135 4 0.332155
  15 0.145 3 0.249116
  16 0.155 2 1.97904
  17 0.165 1 0.989521
  18 0.175 2 1.07256
  19 0.185 2 1.07256
  20 0.195 3 2.06208
  21 0.205 1 0.0830387
  22 0.215 0 0
  23 0.225 3 1.1556
  24 0.235 1 0.0830387
  25 0.245 4 2.14512
  26 0.255 1 0.989521
  27 0.265 1 0.0830387
  28 0.275 2 0.166077
  29 0.285 5 1.32168
  30 0.295 1 0.0830387
  31 0.305 3 1.1556
  32 0.315 3 1.1556
  33 0.325 3 1.1556
  34 0.335 1 0.0830387
  35 0.345 1 0.0830387
  36 0.355 6 1.40471
  37 0.365 2 1.97904
  38 0.375 1 0.989521
  39 0.385 2 1.07256
  40 0.395 4 2.14512
  41 0.405 1 0.0830387
  42 0.415 1 0.0830387
  43 0.425 1 0.0830387
  44 0.435 2 1.07256
  45 0.445 0 0
  46 0.455 3 1.1556
  47 0.465 4 0.332155
  48 0.475 2 0.166077
  49 0.485 3 2.96856
  50 0.495 0 0
  51 0.505 2 1.07256
  52 0.515 0 0
  53 0.525 2 1.07256
  54 0.535 2 0.166077
  55 0.545 2 0.166077
  56 0.555 1 0.0830387
  57 0.565 2 1.07256
  58 0.575 2 1.07256
  59 0.585 5 1.32168
  60 0.595 2 0.166077
  61 0.605 1 0.0830387
  62 0.615 0 0
  63 0.625 2 1.07256
  64 0.635 1 0.0830387
  65 0.645 1 0.989521
  66 0.655 0 0
  67 0.665 2 0.166077
  68 0.675 2 1.07256
  69 0.685 5 2.22816
  70 0.695 1 0.0830387
  71 0.705 1 0.989521
  72 0.715 2 1.07256
  73 0.725 2 0.166077
  74 0.735 2 1.97904
  75 0.745 0 0
  76 0.755 1 0.0830387
  77 0.765 4 0.332155
  78 0.775 1 0.989521
  79 0.785 2 1.07256
  80 0.795 3 1.1556
  81 0.805 3 0.249116
  82 0.815 1 0.0830387
  83 0.825 2 1.07256
  84 0.835 0 0
  85 0.845 1 0.0830387
  86 0.855 0 0
  87 0.865 3 0.249116
  88 0.875 2 1.07256
  89 0.885 3 1.1556
  90 0.895 2 1.07256
  91 0.905 3 2.06208
  92 0.915 0 0
  93 0.925 2 1.07256
  94 0.935 0 0
  95 0.945 3 1.1556
  96 0.955 1 0.989521
  97 0.965 2 0.166077
  98 0.975 4 0.332155
  99 0.985 3 1.1556
  100 0.995 1 0.989521
3000 100 186
  1 0.005 2 1.07785
  2 0.015 2 0.166896
  3 0.025 2 0.166896
  4 0.035 1 0.0834481
  5 0.045 1 0.0834481
  6 0.055 2 0.166896
  7 0.065 4 1.24474
  8 0.075 2 0.166896
  9 0.085 2 1.07785
  10 0.095 1 0.0834481
  11 0.105 0 0
  12 0.115 1 0.0834481
  13 0.125 4 1.24474
  14 0.135 0 0
