# Chunk-averaged data for fix massdensity and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
0 100 186
  1 0.005 2 0.237812
  2 0.015 1 1.41693
  3 0.025 1 0.118906
  4 0.035 3 2.95277
  5 0.045 2 1.53584
  6 0.055 1 1.41693
  7 0.065 4 0.475624
  8 0.075 1 0.118906
  9 0.085 4 1.77365
  10 0.095 2 0.237812
  11 0.105 1 0.118906
  12 0.115 1 1.41693
  13 0.125 1 0.118906
  14 0.135 0 0
  15 0.145 0 0
  16 0.155 2 1.53584
  17 0.165 2 0.237812
  18 0.175 3 2.95277
  19 0.185 3 2.95277
  20 0.195 2 0.237812
  21 0.205 1 0.118906
  22 0.215 3 2.95277
  23 0.225 2 1.53584
  24 0.235 2 0.237812
  25 0.245 2 0.237812
  26 0.255 2 1.53584
  27 0.265 1 1.41693
  28 0.275 2 1.53584
  29 0.285 0 0
  30 0.295 1 0.118906
  31 0.305 4 0.475624
  32 0.315 2 1.53584
  33 0.325 3 0.356718
  34 0.335 1 1.41693
  35 0.345 1 0.118906
  36 0.355 3 1.65474
  37 0.365 0 0
  38 0.375 2 0.237812
  39 0.385 4 3.07167
  40 0.395 2 0.237812
  41 0.405 4 3.07167
  42 0.415 1 0.118906
  43 0.425 1 1.41693
  44 0.435 1 0.118906
  45 0.445 0 0
  46 0.455 4 1.77365
  47 0.465 3 1.65474
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 2 1.53584
  51 0.505 2 1.53584
  52 0.515 1 0.118906
  53 0.525 3 0.356718
  54 0.535 1 1.41693
  55 0.545 4 3.07167
  56 0.555 2 2.83386
  57 0.565 4 1.77365
  58 0.575 0 0
  59 0.585 4 1.77365
  60 0.595 2 0.237812
  61 0.605 2 0.237812
  62 0.615 1 0.118906
  63 0.625 1 1.41693
  64 0.635 2 1.53584
  65 0.645 3 1.65474
  66 0.655 1 0.118906
  67 0.665 1 1.41693
  68 0.675 1 0.118906
  69 0.685 1 0.118906
  70 0.695 1 1.41693
  71 0.705 1 0.118906
  72 0.715 3 0.356718
  73 0.725 2 2.83386
  74 0.735 4 1.77365
  75 0.745 3 0.356718
  76 0.755 3 2.95277
  77 0.765 1 1.41693
  78 0.775 1 0.118906
  79 0.785 1 0.118906
  80 0.795 2 0.237812
  81 0.805 2 0.237812
  82 0.815 1 1.41693
  83 0.825 4 1.77365
  84 0.835 1 1.41693
  85 0.845 2 0.237812
  86 0.855 3 0.356718
  87 0.865 0 0
  88 0.875 1 0.118906
  89 0.885 1 0.118906
  90 0.895 1 1.41693
  91 0.905 3 2.95277
  92 0.915 4 3.07167
  93 0.925 0 0
  94 0.935 4 1.77365
  95 0.945 0 0
  96 0.955 0 0
  97 0.965 3 1.65474
  98 0.975 2 1.53584
  99 0.985 2 1.53584
  100 0.995 4 0.475624
100 100 186
  1 0.005 2 1.49497
  2 0.015 2 0.231485
  3 0.025 1 0.115742
  4 0.035 4 2.98994
  5 0.045 3 1.61071
  6 0.055 2 0.231485
  7 0.065 4 1.72646
  8 0.075 1 0.115742
  9 0.085 3 1.61071
  10 0.095 0 0
  11 0.105 2 0.231485
  12 0.115 2 1.49497
  13 0.125 1 0.115742
  14 0.135 1 1.37923
  15 0.145 2 0.231485
  16 0.155 1 0.115742
  17 0.165 1 0.115742
  18 0.175 3 2.8742
  19 0.185 2 1.49497
  20 0.195 1 0.115742
  21 0.205 4 2.98994
  22 0.215 0 0
  23 0.225 1 1.37923
  24 0.235 4 1.72646
  25 0.245 2 1.49497
  26 0.255 1 0.115742
  27 0.265 2 1.49497
  28 0.275 3 0.347227
  29 0.285 2 1.49497
  30 0.295 2 0.231485
  31 0.305 1 0.115742
  32 0.315 1 0.115742
  33 0.325 4 4.25343
  34 0.335 1 0.115742
  35 0.345 4 1.72646
  36 0.355 2 0.231485
  37 0.365 1 0.115742
  38 0.375 3 2.8742
  39 0.385 1 0.115742
  40 0.395 1 0.115742
  41 0.405 1 0.115742
  42 0.415 4 1.72646
  43 0.425 1 1.37923
  44 0.435 2 0.231485
  45 0.445 2 1.49497
  46 0.455 1 1.37923
  47 0.465 1 0.115742
  48 0.475 2 0.231485
  49 0.485 3 2.8742
  50 0.495 0 0
  51 0.505 1 0.115742
  52 0.515 1 0.115742
  53 0.525 3 0.347227
  54 0.535 1 0.115742
  55 0.545 3 1.61071
  56 0.555 2 2.75846
  57 0.565 3 4.13769
  58 0.575 3 1.61071
  59 0.585 1 0.115742
  60 0.595 1 0.115742
  61 0.605 3 0.347227
  62 0.615 0 0
  63 0.625 3 2.8742
  64 0.635 1 0.115742
  65 0.645 2 0.231485
  66 0.655 3 1.61071
  67 0.665 1 1.37923
  68 0.675 0 0
  69 0.685 1 0.115742
  70 0.695 2 1.49497
  71 0.705 2 0.231485
  72 0.715 2 0.231485
  73 0.725 2 0.231485
  74 0.735 2 2.75846
  75 0.745 5 1.8422
  76 0.755 1 1.37923
  77 0.765 2 2.75846
  78 0.775 1 0.115742
  79 0.785 1 0.115742
  80 0.795 0 0
  81 0.805 2 0.231485
  82 0.815 1 0.115742
  83 0.825 4 1.72646
  84 0.835 2 0.231485
  85 0.845 3 0.347227
  86 0.855 3 0.347227
  87 0.865 1 1.37923
  88 0.875 1 1.37923
  89 0.885 0 0
  90 0.895 2 2.75846
  91 0.905 2 1.49497
  92 0.915 4 1.72646
  93 0.925 2 2.75846
  94 0.935 1 0.115742
  95 0.945 2 0.231485
  96 0.955 2 0.231485
  97 0.965 0 0
  98 0.975 3 2.8742
  99 0.985 1 0.115742
  100 0.995 2 1.49497
200 100 186
  1 0.005 1 0.108802
  2 0.015 1 0.108802
  3 0.025 0 0
  4 0.035 2 0.217605
  5 0.045 6 4.216
  6 0.055 2 0.217605
  7 0.065 2 0.217605
  8 0.075 2 1.40533
  9 0.085 2 0.217605
  10 0.095 0 0
  11 0.105 1 1.29653
  12 0.115 4 1.62294
  13 0.125 4 0.43521
  14 0.135 0 0
  15 0.145 0 0
  16 0.155 1 1.29653
  17 0.165 1 1.29653
  18 0.175 3 1.51414
  19 0.185 3 1.51414
  20 0.195 2 1.40533
  21 0.205 2 1.40533
  22 0.215 2 1.40533
  23 0.225 1 0.108802
  24 0.235 2 0.217605
  25 0.245 4 2.81067
  26 0.255 2 1.40533
  27 0.265 1 0.108802
  28 0.275 1 1.29653
  29 0.285 3 0.326407
  30 0.295 2 1.40533
  31 0.305 3 0.326407
  32 0.315 2 1.40533
  33 0.325 2 0.217605
  34 0.335 3 1.51414
  35 0.345 3 1.51414
  36 0.355 0 0
  37 0.365 2 0.217605
  38 0.375 2 1.40533
  39 0.385 0 0
  40 0.395 1 0.108802
  41 0.405 2 1.40533
  42 0.415 4 2.81067
  43 0.425 0 0
  44 0.435 1 0.108802
  45 0.445 2 1.40533
  46 0.455 0 0
  47 0.465 2 1.40533
  48 0.475 3 1.51414
  49 0.485 2 0.217605
  50 0.495 0 0
  51 0.505 3 1.51414
  52 0.515 3 0.326407
  53 0.525 4 1.62294
  54 0.535 1 0.108802
  55 0.545 3 1.51414
  56 0.555 3 2.70187
  57 0.565 3 2.70187
  58 0.575 0 0
  59 0.585 1 1.29653
  60 0.595 1 0.108802
  61 0.605 2 2.59306
  62 0.615 0 0
  63 0.625 2 0.217605
  64 0.635 3 1.51414
  65 0.645 2 0.217605
  66 0.655 0 0
  67 0.665 2 0.217605
  68 0.675 2 1.40533
  69 0.685 2 0.217605
  70 0.695 2 1.40533
  71 0.705 2 0.217605
  72 0.715 1 0.108802
  73 0.725 3 2.70187
  74 0.735 0 0
  75 0.745 2 1.40533
  76 0.755 3 2.70187
  77 0.765 0 0
  78 0.775 3 1.51414
  79 0.785 3 0.326407
  80 0.795 1 0.108802
  81 0.805 2 0.217605
  82 0.815 1 0.108802
  83 0.825 0 0
  84 0.835 4 1.62294
  85 0.845 1 0.108802
  86 0.855 2 0.217605
  87 0.865 4 2.81067
  88 0.875 2 1.40533
  89 0.885 0 0
  90 0.895 1 0.108802
  91 0.905 2 2.59306
  92 0.915 3 0.326407
  93 0.925 1 1.29653
  94 0.935 0 0
  95 0.945 5 2.91947
  96 0.955 1 0.108802
  97 0.965 3 1.51414
  98 0.975 2 1.40533
  99 0.985 2 2.59306
  100 0.995 2 0.217605
300 100 186
  1 0.005 1 1.22457
  2 0.015 4 0.411055
  3 0.025 4 1.53287
  4 0.035 2 1.32734
  5 0.045 1 0.102764
  6 0.055 0 0
  7 0.065 4 0.411055
  8 0.075 1 0.102764
  9 0.085 1 0.102764
  10 0.095 2 1.32734
  11 0.105 1 1.22457
  12 0.115 1 0.102764
  13 0.125 1 0.102764
  14 0.135 1 0.102764
  15 0.145 1 1.22457
  16 0.155 2 1.32734
  17 0.165 2 1.32734
