# Time-averaged data for fix date
# TimeStep v_istep v_strain v_sigmaxx
0 0 -1.47514e-05 1.28098
100 100 0.00591369 7.02155
200 200 0.0115039 12.0239
300 300 0.0175117 16.9484
400 400 0.0237432 22.0799
500 500 0.0295463 26.4142
600 600 0.0351786 30.3038
700 700 0.0414951 35.018
800 800 0.0474201 39.6049
900 900 0.053382 43.4731
1000 1000 0.0594033 47.4733
1100 1100 0.0652508 51.5033
1200 1200 0.070896 54.6888
1300 1300 0.0771311 58.7266
1400 1400 0.0829764 61.9259
1500 1500 0.0891123 65.1728
1600 1600 0.0950586 68.5862
1700 1700 0.101063 71.5529
1800 1800 0.107066 74.5633
1900 1900 0.113347 77.2353
2000 2000 0.119091 79.905
2100 2100 0.125217 82.6665
2200 2200 0.131522 85.0468
2300 2300 0.137608 87.2568
2400 2400 0.144002 89.3058
2500 2500 0.150322 91.7087
2600 2600 0.156589 93.5693
2700 2700 0.162815 95.2459
2800 2800 0.169501 97.1468
2900 2900 0.175936 98.6463
3000 3000 0.182921 100.452
3100 3100 0.189269 100.955
3200 3200 0.195299 96.7275
3300 3300 0.198449 86.7203
3400 3400 0.199641 67.0313
3500 3500 0.199958 46.923
3600 3600 0.200045 20.3964
3700 3700 0.200085 7.88057
3800 3800 0.200112 3.16808
3900 3900 0.200137 -1.3496
4000 4000 0.200162 -4.67102
4100 4100 0.200187 0.268365
4200 4200 0.200208 1.92303
4300 4300 0.200231 2.69642
4400 4400 0.200252 6.19298
4500 4500 0.200275 3.47391
4600 4600 0.200298 3.30384
4700 4700 0.20032 0.0626991
4800 4800 0.200342 0.915408
4900 4900 0.200364 0.925211
5000 5000 0.200386 2.43741
5100 5100 0.200408 3.7313
5200 5200 0.20043 2.53497
5300 5300 0.200452 1.64375
5400 5400 0.200474 2.16846
5500 5500 0.200496 0.580697
5600 5600 0.200518 3.94444
5700 5700 0.200539 3.97521
5800 5800 0.20056 5.00366
5900 5900 0.200581 4.21417
6000 6000 0.200603 3.60612
6100 6100 0.200623 2.97932
6200 6200 0.200645 2.36605
6300 6300 0.200666 4.54032
6400 6400 0.200688 3.4457
6500 6500 0.20071 0.485226
6600 6600 0.200733 3.65831
6700 6700 0.200756 2.99149
6800 6800 0.200777 3.57083
6900 6900 0.2008 1.2537
7000 7000 0.200822 3.25306
7100 7100 0.200844 2.72809
7200 7200 0.200865 4.45424
7300 7300 0.200887 5.441
7400 7400 0.200908 4.45289
7500 7500 0.200929 2.04172
7600 7600 0.200951 1.84187
7700 7700 0.200972 2.29597
7800 7800 0.200994 2.35786
7900 7900 0.201017 2.24005
8000 8000 0.201039 2.38553
8100 8100 0.20106 3.50333
8200 8200 0.201083 1.37702
8300 8300 0.201105 2.84742
8400 8400 0.201126 3.23528
8500 8500 0.201148 2.95867
8600 8600 0.201171 3.1104
8700 8700 0.201192 4.08519
8800 8800 0.201214 1.33214
8900 8900 0.201237 2.20878
9000 9000 0.201259 2.80669
9100 9100 0.20128 2.74147
9200 9200 0.201302 3.04897
9300 9300 0.201324 3.37532
9400 9400 0.201345 2.81311
9500 9500 0.201368 3.69306
9600 9600 0.20139 2.62113
9700 9700 0.201412 3.46841
9800 9800 0.201433 3.17458
9900 9900 0.201455 3.68072
10000 10000 0.201478 2.09413
10100 10100 0.201499 4.42804
10200 10200 0.20152 3.29481
10300 10300 0.201542 3.37634
10400 10400 0.201564 2.68608
10500 10500 0.201587 4.29779
10600 10600 0.201607 3.58829
10700 10700 0.201629 3.85374
10800 10800 0.201649 2.78127
10900 10900 0.201671 3.08209
11000 11000 0.201693 3.4476
11100 11100 0.201713 3.64383
11200 11200 0.201734 2.43413
11300 11300 0.201757 3.15444
11400 11400 0.201777 2.69755
11500 11500 0.201799 4.43122
11600 11600 0.20182 3.12557
11700 11700 0.20184 3.47435
11800 11800 0.201861 3.91536
11900 11900 0.201882 5.59178
12000 12000 0.201904 5.26993
12100 12100 0.201925 4.88303
12200 12200 0.201945 4.09175
12300 12300 0.201965 4.24647
12400 12400 0.201986 3.93431
12500 12500 0.202007 3.81951
12600 12600 0.202029 3.684
12700 12700 0.202049 4.10595
12800 12800 0.202069 2.95591
12900 12900 0.202091 4.88618
13000 13000 0.20211 5.5079
13100 13100 0.20213 6.16187
13200 13200 0.20215 5.93984
13300 13300 0.202171 4.53996
13400 13400 0.20219 4.24124
13500 13500 0.202212 4.97755
13600 13600 0.202232 5.07534
13700 13700 0.202253 3.75847
13800 13800 0.202273 5.6526
13900 13900 0.202293 4.79269
14000 14000 0.202314 5.75533
14100 14100 0.202334 4.96346
14200 14200 0.202355 4.49086
14300 14300 0.202375 5.9684
14400 14400 0.202395 4.99428
14500 14500 0.202416 6.70307
14600 14600 0.202436 5.42681
14700 14700 0.202458 4.7849
14800 14800 0.202477 3.62773
14900 14900 0.202498 3.5218
15000 15000 0.202519 4.57127
